Unicode	字	地區	粵拼	備註
U+3400	㐀	G,J,T	jau1	無
U+3401	㐁	G,K,T	tim2	無
U+3402	㐂	J	cat1	無
U+3403	㐃	K	zim1	無
U+3404	㐄	G,J,T	kwaa1	無
U+3405	㐅	G,J,T	m5,ng5	無
U+3406	㐆	G,J,T	ji1,zaan2	無
U+3407	㐇	K	gau2	無
U+3408	㐈	K	jap6	無
U+3409	㐉	K	？	無
U+340A	㐊	K	？	無
U+340B	㐋	K	？	無
U+340C	㐌	G,KP,T,V	zyu4	無
U+340D	㐍	K	？	無
U+340E	㐎	K	？	無
U+340F	㐏	K	？	無
U+3410	㐐	K	？	無
U+3411	㐑	K	？	無
U+3412	㐒	K	？	無
U+3413	㐓	K	？	無
U+3414	㐔	K	？	無
U+3415	㐕	K	？	無
U+3416	㐖	G,T	zip6	無
U+3417	㐗	K	？	無
U+3418	㐘	K	？	無
U+3419	㐙	K	？	無
U+341A	㐚	K	？	無
U+341B	㐛	K	？	無
U+341C	㐜	G,KP,K,T	caau4	無
U+341D	㐝	K	？	無
U+341E	㐞	K	？	無
U+341F	㐟	K	？	無
U+3420	㐠	K	？	無
U+3421	㐡	G,T	no6	無
U+3422	㐢	K	？	無
U+3423	㐣	K	？	無
U+3424	㐤	G,T	kaau4	無
U+3425	㐥	KP,K	？	無
U+3426	㐦	K	？	無
U+3427	㐧	J	？	無
U+3428	㐨	G,T	zeoi6	無
U+3429	㐩	G,T	zing4	無
U+342A	㐪	J	？	無
U+342B	㐫	G,T	gun3,hung1,zung1	無
U+342C	㐬	G,J,T	lau4	無
U+342D	㐭	G,J,KP,T	lam5	無
U+342E	㐮	G,J,T	soeng1	無
U+342F	㐯	G,J	jung4	無
U+3430	㐰	G,J,T	seon3	無
U+3431	㐱	G,KP,T,V	caa5,caan2,dou3,zaan2	無
U+3432	㐲	G,K,T	daai6	無
U+3433	㐳	G,T	ngaat6	無
U+3434	㐴	G,T	paan1	無
U+3435	㐵	G,H	jyu4	無
U+3436	㐶	J,T	？	無
U+3437	㐷	G	maa6	無
U+3438	㐸	G,T	gim1,him3	無
U+3439	㐹	G,T	go1,kwok3,ngaat6	無
U+343A	㐺	G,J,K,T	zung3	無
U+343B	㐻	G,T,V	fu1,mou5,noi6	無
U+343C	㐼	G,KP,T	cing2	無
U+343D	㐽	G	fung1	無
U+343E	㐾	G,T	？	無
U+343F	㐿	K	？	無
U+3440	㑀	H,K	taai3	無
U+3441	㑁	G,J,KP,T	zyut3,zyut6	無
U+3442	㑂	G,J,T	fong2,pong4	無
U+3443	㑃	G,K,T	au2,au3,paai1	無
U+3444	㑄	G,KP,T	mou5	無
U+3445	㑅	G,J,KP,T	zok3,zok6	無
U+3446	㑆	G	？	無
U+3447	㑇	G	zaau3	無
U+3448	㑈	G	dung1	無
U+3449	㑉	G,T	cuk1	無
U+344A	㑊	G,H,KP,K,T	zik6	無
U+344B	㑋	G,KP,T	kung4	無
U+344C	㑌	G,H,KP,K,T	hong1	無
U+344D	㑍	G,T,V	leoi5	無
U+344E	㑎	G,T	nou5	無
U+344F	㑏	G,T,V	cyu5,zyu2	無
U+3450	㑐	G,J,T	suk1	無
U+3451	㑑	T	？	無
U+3452	㑒	J	？	無
U+3453	㑓	J,T	？	無
U+3454	㑔	G	seoi2	無
U+3455	㑕	G	？	無
U+3456	㑖	K	？	無
U+3457	㑗	G,KP,T	saan1,saan6	無
U+3458	㑘	G,J,T	gaai3	無
U+3459	㑙	G,KP,T	dip6	無
U+345A	㑚	G,T	naa4,no4	無
U+345B	㑛	G,KP,T	cuk1	無
U+345C	㑜	G,KP,T	zaai6	無
U+345D	㑝	G,KP,T	lung6	無
U+345E	㑞	G,J,T	zing6	無
U+345F	㑟	G,KP,T	mang1	無
U+3460	㑠	G	？	無
U+3461	㑡	K	？	無
U+3462	㑢	G	？	無
U+3463	㑣	G,KP,K,T	lam2,lam4	無
U+3464	㑤	G,H,J,T	miu4	無
U+3465	㑥	G,KP,T	zi6	無
U+3466	㑦	G,J,KP,K,T	leoi6	無
U+3467	㑧	G,J,K,T	gwai3	無
U+3468	㑨	J	zyu5	無
U+3469	㑩	G	lo4	無
U+346A	㑪	J	caai4	無
U+346B	㑫	G,V	？	無
U+346C	㑬	K	？	無
U+346D	㑭	K	？	無
U+346E	㑮	G,T	gwaat1,waan4	無
U+346F	㑯	G,T	seoi1	無
U+3470	㑰	G,T	fui4	無
U+3471	㑱	G,K,T	nau4	無
U+3472	㑲	K	？	無
U+3473	㑳	G,H,KP,K,T	zaau3	無
U+3474	㑴	G,KP,T	caam1,cam1	無
U+3475	㑵	G,K,T	zat6	無
U+3476	㑶	G,KP,T	haai4,hei3	無
U+3477	㑷	G,KP,K,T	taai3	無
U+3478	㑸	G,J	ziu4	無
U+3479	㑹	J,KP,T	gwat3,mok6,wui6	無
U+347A	㑺	G,H,T	zeoi6,zeon3	無
U+347B	㑻	G,KP,T	maa6,mei5	無
U+347C	㑼	G,T	loek6	無
U+347D	㑽	G,H,T	tong4	無
U+347E	㑾	G,H,KP,K,T	ziu4	無
U+347F	㑿	G,KP,T	coek3,huk6,zau3,ziu6	無
U+3480	㒀	G,KP,K,T	cim4,cip3,zak6	無
U+3481	㒁	G,KP,K,T	sou3,zyu5	無
U+3482	㒂	G,T	zoek6	無
U+3483	㒃	G,K,T	zi6	無
U+3484	㒄	G,KP,T	ngam4,zim5	無
U+3485	㒅	G,KP,K,T	kai2	無
U+3486	㒆	G,T	kap1	無
U+3487	㒇	G,K,T	ng5	無
U+3488	㒈	G,T	hon6	無
U+3489	㒉	G,T	tong2	無
U+348A	㒊	G,KP,T	saap1,sik1	無
U+348B	㒋	G,T	si1	無
U+348C	㒌	G,T	king4	無
U+348D	㒍	G,KP,T	leoi5	無
U+348E	㒎	G,T	sat3	無
U+348F	㒏	K	？	無
U+3490	㒐	K	？	無
U+3491	㒑	G,KP,T	hung2,kui2,wak6	無
U+3492	㒒	G,J,KP,T	buk6	無
U+3493	㒓	G,H,KP,K,T	taat3	無
U+3494	㒔	G,KP,K,T	suk6	無
U+3495	㒕	G,KP,T	zoeng1	無
U+3496	㒖	G,H,T	ngaau5	無
U+3497	㒗	T	toi4	無
U+3498	㒘	G	？	無
U+3499	㒙	G,KP,T,V	min4,min6	無
U+349A	㒚	G,KP,T	waan2	無
U+349B	㒛	G,KP,K,T	deoi2,diu6	無
